Date,High,Low,Open,Close,Volume,Difference
18-Jul-10,0.1,0.1,0,0.1,6.55K,0.00%
25-Jul-10,0.1,0.1,0.1,0.1,25.29K,0.00%
1-Aug-10,0.1,0.1,0.1,0.1,28.56K,0.00%
8-Aug-10,0.1,0.1,0.1,0.1,41.26K,0.00%
15-Aug-10,0.1,0.1,0.1,0.1,46.72K,0.00%
22-Aug-10,0.1,0.1,0.1,0.1,52.94K,0.00%
29-Aug-10,0.1,0,0.1,0.1,71.76K,0.00%
5-Sep-10,0.1,0.1,0.1,0.1,29.59K,0.00%
12-Sep-10,0.2,0.1,0.1,0.1,43.62K,0.00%
19-Sep-10,0.1,0.1,0.1,0.1,62.80K,0.00%
26-Sep-10,0.1,0.1,0.1,0.1,76.07K,0.00%
3-Oct-10,0.1,0,0.1,0.1,472.96K,0.00%
10-Oct-10,0.1,0.1,0.1,0.1,206.14K,0.00%
17-Oct-10,0.1,0.1,0.1,0.1,165.87K,0.00%
24-Oct-10,0.2,0.1,0.1,0.2,205.85K,88.53%
31-Oct-10,0.5,0.1,0.2,0.4,228.00K,96.08%
7-Nov-10,0.5,0.1,0.4,0.3,341.46K,-29.23%
14-Nov-10,0.3,0.2,0.3,0.3,146.41K,0.00%
21-Nov-10,0.3,0.3,0.3,0.3,73.38K,0.00%
28-Nov-10,0.3,0.2,0.3,0.2,136.93K,-27.56%
5-Dec-10,0.2,0.2,0.2,0.2,66.89K,0.00%
12-Dec-10,0.3,0.2,0.2,0.2,37.50K,0.00%
19-Dec-10,0.3,0.2,0.2,0.2,40.10K,0.00%
26-Dec-10,0.3,0.2,0.2,0.3,62.38K,20.05%
2-Jan-11,0.3,0.3,0.3,0.3,56.70K,0.00%
9-Jan-11,0.4,0.3,0.3,0.4,97.03K,19.54%
16-Jan-11,0.4,0.3,0.4,0.4,82.88K,15.10%
23-Jan-11,0.4,0.4,0.4,0.4,64.42K,0.00%
30-Jan-11,0.9,0.4,0.4,0.9,177.62K,109.57%
6-Feb-11,1.1,0.8,0.9,1.1,111.64K,17.39%
13-Feb-11,1.1,0.8,1.1,0.9,70.90K,-12.13%
20-Feb-11,1,0.8,0.9,1,53.11K,0.00%
27-Feb-11,1,0.8,1,0.9,71.26K,0.00%
6-Mar-11,0.9,0.8,0.9,0.9,54.39K,0.00%
13-Mar-11,0.9,0.7,0.9,0.8,47.85K,-16.67%
20-Mar-11,0.9,0.7,0.8,0.9,65.51K,11.79%
27-Mar-11,0.9,0.8,0.9,0.8,37.89K,-8.56%
3-Apr-11,0.8,0.6,0.8,0.7,94.68K,-6.65%
10-Apr-11,1.1,0.7,0.7,1,222.10K,43.84%
17-Apr-11,2,1,1,1.7,230.94K,61.90%
24-Apr-11,4.2,1.5,1.7,3.5,315.37K,105.88%
1-May-11,3.9,2.5,3.5,3.6,154.50K,4.00%
8-May-11,8.9,3.6,3.6,7.2,292.56K,97.80%
15-May-11,8.5,5.6,7.2,6.1,223.19K,-15.00%
22-May-11,9.3,6,6.1,8.3,207.81K,35.62%
29-May-11,18.9,8.1,8.3,18.9,272.94K,127.59%
5-Jun-11,31.9,13,18.9,14.6,515.02K,-22.45%
12-Jun-11,25,10.3,14.6,16.9,481.85K,15.29%
19-Jun-11,18.9,16.9,16.9,17.5,30.18K,3.67%
26-Jun-11,18,14,17.5,15.4,179.65K,-12.05%
3-Jul-11,16.5,11,15.4,14.4,366.20K,-6.62%
10-Jul-11,15.7,13.5,14.4,13.7,190.88K,-4.59%
17-Jul-11,14.7,12.5,13.7,13.7,263.67K,0.00%
24-Jul-11,14.7,13.3,13.7,13.5,132.60K,-1.10%
