Date,Lastes,Open,High,Low,Vol,Difference
18-Jul-10,0.1,0,0.1,0.1,6.55K,0.00%
25-Jul-10,0.1,0.1,0.1,0.1,25.29K,0.00%
1-Aug-10,0.1,0.1,0.1,0.1,28.56K,0.00%
8-Aug-10,0.1,0.1,0.1,0.1,41.26K,0.00%
15-Aug-10,0.1,0.1,0.1,0.1,46.72K,0.00%
22-Aug-10,0.1,0.1,0.1,0.1,52.94K,0.00%
29-Aug-10,0.1,0.1,0.1,0,71.76K,0.00%
5-Sep-10,0.1,0.1,0.1,0.1,29.59K,0.00%
12-Sep-10,0.1,0.1,0.2,0.1,43.62K,0.00%
19-Sep-10,0.1,0.1,0.1,0.1,62.80K,0.00%
26-Sep-10,0.1,0.1,0.1,0.1,76.07K,0.00%
3-Oct-10,0.1,0.1,0.1,0,472.96K,0.00%
10-Oct-10,0.1,0.1,0.1,0.1,206.14K,0.00%
17-Oct-10,0.1,0.1,0.1,0.1,165.87K,0.00%
24-Oct-10,0.2,0.1,0.2,0.1,205.85K,88.53%
31-Oct-10,0.4,0.2,0.5,0.1,228.00K,96.08%
7-Nov-10,0.3,0.4,0.5,0.1,341.46K,-29.23%
14-Nov-10,0.3,0.3,0.3,0.2,146.41K,0.00%
21-Nov-10,0.3,0.3,0.3,0.3,73.38K,0.00%
28-Nov-10,0.2,0.3,0.3,0.2,136.93K,-27.56%
5-Dec-10,0.2,0.2,0.2,0.2,66.89K,0.00%
12-Dec-10,0.2,0.2,0.3,0.2,37.50K,0.00%
19-Dec-10,0.2,0.2,0.3,0.2,40.10K,0.00%
26-Dec-10,0.3,0.2,0.3,0.2,62.38K,20.05%
2-Jan-11,0.3,0.3,0.3,0.3,56.70K,0.00%
9-Jan-11,0.4,0.3,0.4,0.3,97.03K,19.54%
16-Jan-11,0.4,0.4,0.4,0.3,82.88K,15.10%
23-Jan-11,0.4,0.4,0.4,0.4,64.42K,0.00%
30-Jan-11,0.9,0.4,0.9,0.4,177.62K,109.57%
6-Feb-11,1.1,0.9,1.1,0.8,111.64K,17.39%
13-Feb-11,0.9,1.1,1.1,0.8,70.90K,-12.13%
20-Feb-11,1,0.9,1,0.8,53.11K,0.00%
27-Feb-11,0.9,1,1,0.8,71.26K,0.00%
6-Mar-11,0.9,0.9,0.9,0.8,54.39K,0.00%
13-Mar-11,0.8,0.9,0.9,0.7,47.85K,-16.67%
20-Mar-11,0.9,0.8,0.9,0.7,65.51K,11.79%
27-Mar-11,0.8,0.9,0.9,0.8,37.89K,-8.56%
3-Apr-11,0.7,0.8,0.8,0.6,94.68K,-6.65%
10-Apr-11,1,0.7,1.1,0.7,222.10K,43.84%
17-Apr-11,1.7,1,2,1,230.94K,61.90%
24-Apr-11,3.5,1.7,4.2,1.5,315.37K,105.88%
1-May-11,3.6,3.5,3.9,2.5,154.50K,4.00%
8-May-11,7.2,3.6,8.9,3.6,292.56K,97.80%
15-May-11,6.1,7.2,8.5,5.6,223.19K,-15.00%
22-May-11,8.3,6.1,9.3,6,207.81K,35.62%
29-May-11,18.9,8.3,18.9,8.1,272.94K,127.59%
5-Jun-11,14.6,18.9,31.9,13,515.02K,-22.45%
12-Jun-11,16.9,14.6,25,10.3,481.85K,15.29%
19-Jun-11,17.5,16.9,18.9,16.9,30.18K,3.67%
26-Jun-11,15.4,17.5,18,14,179.65K,-12.05%
3-Jul-11,14.4,15.4,16.5,11,366.20K,-6.62%
10-Jul-11,13.7,14.4,15.7,13.5,190.88K,-4.59%
17-Jul-11,13.7,13.7,14.7,12.5,263.67K,0.00%
24-Jul-11,13.5,13.7,14.7,13.3,132.60K,-1.10%
31-Jul-11,6.6,13.5,14.9,5.7,398.27K,-51.59%
7-Aug-11,10.1,6.6,12.1,6,392.07K,54.66%
14-Aug-11,11.4,10.1,11.9,9.6,172.35K,13.03%
21-Aug-11,8.6,11.4,11.5,7.6,226.80K,-24.98%
28-Aug-11,8.5,8.6,9.5,8,112.89K,-1.28%
4-Sep-11,4.8,8.5,8.5,4.2,476.41K,-43.75%
11-Sep-11,4.8,4.8,7.4,4.4,413.36K,0.00%
18-Sep-11,5.5,4.8,6.8,4.7,384.64K,14.68%
25-Sep-11,5,5.5,5.5,4.6,199.84K,-8.04%
2-Oct-11,4,5,5.1,3.8,253.06K,-20.28%
9-Oct-11,3.8,4,4.4,3.7,247.14K,-4.24%
16-Oct-11,3.2,3.8,3.9,2,675.35K,-17.71%
23-Oct-11,3.6,3.2,3.8,2.4,450.69K,13.29%
30-Oct-11,3,3.6,3.7,2.8,268.87K,-17.04%
6-Nov-11,3,3,3.2,2.8,252.92K,2.02%
13-Nov-11,2.2,3,3,2,806.16K,-27.39%
20-Nov-11,2.5,2.2,2.6,2.2,363.45K,12.27%
27-Nov-11,2.8,2.5,3.1,2.4,609.05K,12.96%
4-Dec-11,3,2.8,3.1,2.6,388.45K,9.32%
11-Dec-11,3.2,3,3.4,3,329.70K,4.92%
18-Dec-11,3.9,3.2,4.5,3.2,478.62K,23.12%
25-Dec-11,4.7,3.9,5,3.8,457.49K,19.80%
1-Jan-12,6.8,4.7,7.2,4.6,1.02M,44.28%
8-Jan-12,6.8,6.8,7.2,5.8,757.50K,-0.88%
15-Jan-12,6.2,6.8,7.2,4.6,871.36K,-8.44%
22-Jan-12,5.6,6.2,6.4,5.1,560.59K,-8.90%
29-Jan-12,5.9,5.6,6.2,5.3,387.00K,4.26%
5-Feb-12,5.6,5.9,6,5.3,720.25K,-4.60%
12-Feb-12,4.2,5.6,5.8,3.9,1.08M,-24.64%
19-Feb-12,4.8,4.2,5.2,4.2,595.59K,13.03%
26-Feb-12,4.6,4.8,5.1,4.5,403.66K,-3.35%
4-Mar-12,4.8,4.6,5.1,4.6,334.24K,4.77%
11-Mar-12,5.2,4.8,5.4,4.8,367.60K,8.07%
18-Mar-12,4.7,5.2,5.3,4.5,475.80K,-10.34%
25-Mar-12,4.9,4.7,4.9,4.3,365.42K,4.91%
1-Apr-12,4.7,4.9,5.1,4.7,419.10K,-4.48%
8-Apr-12,5,4.7,5,4.6,404.72K,5.76%
15-Apr-12,5.3,5,5.5,4.9,385.95K,6.05%
22-Apr-12,5,5.3,5.3,4.8,367.93K,-5.32%
29-Apr-12,5.1,5,5.2,4.9,308.53K,2.01%
6-May-12,4.9,5.1,5.1,4.8,326.60K,-2.56%
13-May-12,5.1,4.9,5.1,4.9,282.77K,3.03%
20-May-12,5.1,5.1,5.2,5.1,220.54K,0.00%
27-May-12,5.3,5.1,5.3,5,243.86K,2.94%
3-Jun-12,5.6,5.3,5.7,5.2,327.56K,5.90%
10-Jun-12,6.4,5.6,6.6,5.4,379.76K,15.11%
17-Jun-12,6.4,6.4,6.8,6,332.47K,0.00%
24-Jun-12,6.7,6.4,6.7,6.2,277.01K,4.04%
1-Jul-12,6.8,6.7,6.9,6.4,284.01K,1.05%
8-Jul-12,7.5,6.8,7.9,6.7,337.91K,11.54%
15-Jul-12,8.9,7.5,9.7,7.3,789.95K,17.37%
22-Jul-12,8.9,8.9,9.2,7.8,357.35K,0.00%
29-Jul-12,11,8.9,11.3,8.7,442.24K,23.51%
5-Aug-12,11.5,11,12,10.1,379.16K,4.83%
12-Aug-12,11.6,11.5,15.4,10.6,591.64K,0.87%
19-Aug-12,10.5,11.6,11.6,7.6,759.29K,-9.39%
